genome	rl	damagelevel	covbin	noContigs	totallength	alignmentlength	softcliplength
Tforsythia	long	0	7	112	3253744	3081741	171980
Adentalis	long	3	0	0	0	0	0
Msmithii	short	1	0	0	0	0	0
Msmithii	short	0	0	0	0	0	0
Adentalis	short	2	0	0	0	0	0
Msmithii	medium	7	3	234	1646221	1633606	12615
Msmithii	short	5	4	84	1779377	1756424	22952
Adentalis	short	2	3	397	1564647	1550085	14562
Msmithii	medium	8	5	43	1802857	1801463	1391
Msmithii	short	8	6	56	1790619	1784119	6495
Adentalis	long	3	7	107	3471959	3159288	312668
Msmithii	medium	0	1	0	0	0	0
Adentalis	short	2	1	0	0	0	0
Msmithii	medium	0	2	25	80998	78242	2756
Msmithii	medium	7	2	19	62562	59838	2724
Msmithii	short	0	5	55	1789533	1784885	4648
Msmithii	medium	7	5	41	1802485	1801641	842
Msmithii	medium	0	5	42	1804009	1802292	1716
Msmithii	medium	2	4	64	1799301	1769669	29631
Msmithii	medium	2	5	40	1803543	1801694	1847
Adentalis	medium	1	7	131	3447817	3202733	245079
Adentalis	long	6	0	0	0	0	0
Msmithii	short	0	1	0	0	0	0
Msmithii	medium	7	4	64	1798754	1778266	20486
Msmithii	medium	0	6	34	1814511	1686561	127946
Adentalis	medium	4	4	346	3257040	3126522	130516
Msmithii	medium	2	7	34	1815322	1700705	114616
Msmithii	short	7	7	55	1796001	1787055	8942
Msmithii	short	4	6	53	1793821	1779210	14610
Adentalis	long	9	4	200	3428265	3214889	213372
Adentalis	short	2	4	372	3057844	2992724	65078
Msmithii	short	1	1	0	0	0	0
Adentalis	short	3	1	0	0	0	0
Adentalis	medium	4	0	0	0	0	0
Msmithii	medium	4	3	229	1620853	1608702	12151
Msmithii	medium	8	0	0	0	0	0
Msmithii	medium	2	6	38	1817027	1705954	111072
Msmithii	medium	8	3	225	1623874	1617925	5949
Msmithii	short	1	7	58	1795747	1778055	17688
Msmithii	medium	7	6	37	1817257	1687423	129829
Msmithii	medium	4	1	0	0	0	0
Adentalis	long	5	0	0	0	0	0
Tforsythia	medium	4	2	30	91542	90578	963
Adentalis	long	5	2	185	611642	597402	14240
Tforsythia	medium	1	3	419	2740715	2697797	42878
Tforsythia	medium	6	4	217	3152876	3103220	49641
Adentalis	medium	9	1	0	0	0	0
Adentalis	short	2	2	0	0	0	0
Tforsythia	short	2	1	0	0	0	0
Adentalis	medium	9	0	0	0	0	0
Tforsythia	medium	6	2	21	63885	63787	97
Tforsythia	long	3	2	205	700733	689863	10870
Adentalis	long	0	2	242	837616	823334	14252
Tforsythia	short	2	3	418	1785083	1780483	4588
Tforsythia	short	2	5	162	3113767	3023279	90479
Adentalis	short	0	3	447	2008884	1992718	16166
Adentalis	short	8	5	291	3235335	3129175	106159
Tforsythia	medium	0	6	125	3246777	3009378	237205
Tforsythia	short	8	6	158	3120383	3089605	30777
Adentalis	short	0	4	305	3212816	3112235	100572
Adentalis	medium	1	4	345	3241232	3142057	99165
Adentalis	medium	1	5	189	3397587	3180210	217367
Tforsythia	medium	7	1	0	0	0	0
Adentalis	long	9	2	113	365081	352213	12868
Adentalis	short	1	2	0	0	0	0
Adentalis	short	1	6	290	3246548	3156351	90195
Adentalis	long	0	3	287	3304176	3140231	163942
Adentalis	long	9	5	110	3461522	3106831	354686
Tforsythia	medium	1	1	0	0	0	0
Adentalis	long	9	1	0	0	0	0
Tforsythia	short	9	6	161	3117394	3098413	18964
Adentalis	long	1	2	176	584926	572400	12526
Tforsythia	medium	7	6	119	3235392	3029390	205904
Tforsythia	medium	0	4	147	3184434	3137103	47308
Tforsythia	medium	1	5	139	3221265	3036236	184985
Adentalis	long	1	5	116	3459486	3165910	293560
Tforsythia	long	4	7	114	3256764	3079571	177124
Tforsythia	short	2	4	226	3084836	3046271	38544
Adentalis	medium	9	5	179	3402832	3060318	342501
Adentalis	long	9	3	410	3144848	3020820	124018
Adentalis	medium	1	6	141	3447968	3187184	260779
Adentalis	medium	7	6	143	3439678	3187541	252128
Adentalis	long	0	7	99	3465121	3184935	280186
Tforsythia	medium	0	1	0	0	0	0
Tforsythia	medium	1	0	0	0	0	0
Tforsythia	medium	2	1	0	0	0	0
Adentalis	medium	9	3	501	2465428	2446604	18823
Msmithii	long	4	4	46	1815255	1678404	136851
Adentalis	medium	4	1	0	0	0	0
Adentalis	medium	7	3	497	2553595	2527839	25732
Msmithii	short	0	4	70	1784241	1760242	23996
Tforsythia	short	2	0	0	0	0	0
Tforsythia	long	9	0	0	0	0	0
Tforsythia	long	6	0	0	0	0	0
Adentalis	medium	0	2	45	138406	136048	2358
Adentalis	medium	7	2	21	62649	61805	844
Tforsythia	short	6	1	0	0	0	0
Tforsythia	long	6	3	282	3119181	3037379	81744
Adentalis	long	5	3	371	3187771	3082605	105134
Tforsythia	long	8	6	119	3272878	3029715	243092
Adentalis	long	9	6	108	3470604	3160971	309632
Msmithii	medium	4	4	65	1802005	1761809	40195
Adentalis	long	1	6	102	3467241	3119860	347380
Tforsythia	short	2	7	161	3126145	3063388	62753
Adentalis	long	9	7	104	3474357	3124890	349467
Adentalis	long	8	4	187	3428301	3195118	233172
Adentalis	long	8	3	399	3150134	3054120	96012
Tforsythia	long	4	0	0	0	0	0
Tforsythia	long	7	1	0	0	0	0
Tforsythia	medium	0	0	0	0	0	0
Msmithii	short	1	2	0	0	0	0
Msmithii	medium	4	0	0	0	0	0
Tforsythia	medium	5	2	27	82974	82542	432
Adentalis	long	7	2	145	474385	458306	16007
Tforsythia	long	6	2	197	672274	655311	16943
Msmithii	long	3	5	34	1815267	1715590	99673
Msmithii	short	1	3	241	1065293	1061295	3996
Adentalis	medium	3	3	505	2570503	2535531	34920
Msmithii	medium	1	7	35	1817071	1771726	45339
Tforsythia	medium	7	4	206	3159342	3051348	107936
Msmithii	long	0	7	32	1818393	1814077	4316
Tforsythia	long	4	2	213	723234	715266	7958
Msmithii	medium	4	6	36	1818034	1702588	115445
Tforsythia	medium	2	7	122	3249894	3041111	208729
Tforsythia	short	2	6	162	3123778	3080164	43594
Tforsythia	medium	9	5	134	3225764	2922957	302791
Tforsythia	long	5	7	109	3253673	3064110	189496
Adentalis	medium	3	7	137	3448251	3233389	214854
Msmithii	long	2	5	28	1815384	1747610	67772
Msmithii	medium	7	7	35	1816903	1670049	146849
Adentalis	long	7	5	116	3464157	3129112	335041
Tforsythia	short	4	0	0	0	0	0
Msmithii	short	2	1	0	0	0	0
Tforsythia	short	3	0	0	0	0	0
Adentalis	short	7	0	0	0	0	0
Tforsythia	short	9	0	0	0	0	0
Tforsythia	long	6	1	0	0	0	0
Msmithii	short	7	2	0	0	0	0
Tforsythia	short	6	2	1	2783	2783	0
Msmithii	short	0	3	251	1148877	1144519	4357
Msmithii	short	1	5	57	1787304	1782960	4344
Msmithii	long	4	5	32	1815978	1700270	115705
Tforsythia	short	6	3	446	1843803	1834716	9086
Msmithii	medium	4	5	41	1806149	1802046	4102
Msmithii	long	6	6	32	1818102	1807874	10228
Tforsythia	short	6	4	230	3086248	3068083	18145
Msmithii	medium	9	4	56	1799772	1759169	40602
Tforsythia	medium	7	7	120	3238248	3038231	199941
Msmithii	long	7	5	31	1818651	1678626	140025
Tforsythia	medium	1	4	202	3134462	3070178	64267
Tforsythia	medium	4	7	128	3252350	3048665	203581
Adentalis	long	7	3	390	3163900	3101423	62474
Tforsythia	long	3	7	109	3259017	2985701	273288
Msmithii	short	2	4	88	1775588	1764909	10679
Tforsythia	long	4	5	118	3273034	3004623	268323
Msmithii	long	2	6	31	1816186	1796385	19801
Msmithii	short	2	0	0	0	0	0
Msmithii	short	4	1	0	0	0	0
Msmithii	short	2	2	0	0	0	0
Adentalis	long	7	1	0	0	0	0
Adentalis	short	4	0	0	0	0	0
