	genome	chr	length
0	Msmithii	NC_009515.1	1853160
0	Tforsythia	NC_016610.1	3405521
0	Adentalis	NZ_AUBL01000001.1	183676
1	Adentalis	NZ_AUBL01000002.1	173387
2	Adentalis	NZ_AUBL01000003.1	142162
3	Adentalis	NZ_AUBL01000004.1	124751
4	Adentalis	NZ_KE386864.1	107006
5	Adentalis	NZ_AUBL01000007.1	103344
6	Adentalis	NZ_KE386865.1	102984
7	Adentalis	NZ_AUBL01000010.1	98231
8	Adentalis	NZ_AUBL01000011.1	77195
9	Adentalis	NZ_AUBL01000012.1	77083
10	Adentalis	NZ_AUBL01000013.1	76978
11	Adentalis	NZ_AUBL01000014.1	76609
12	Adentalis	NZ_AUBL01000015.1	74621
13	Adentalis	NZ_AUBL01000016.1	70739
14	Adentalis	NZ_KE386866.1	68499
15	Adentalis	NZ_AUBL01000019.1	66494
16	Adentalis	NZ_AUBL01000020.1	65248
17	Adentalis	NZ_KE386867.1	65160
18	Adentalis	NZ_AUBL01000023.1	62692
19	Adentalis	NZ_AUBL01000024.1	62455
20	Adentalis	NZ_AUBL01000025.1	61866
21	Adentalis	NZ_AUBL01000026.1	57724
22	Adentalis	NZ_AUBL01000027.1	57222
23	Adentalis	NZ_AUBL01000028.1	56743
24	Adentalis	NZ_AUBL01000029.1	56134
25	Adentalis	NZ_AUBL01000030.1	54867
26	Adentalis	NZ_AUBL01000031.1	51879
27	Adentalis	NZ_AUBL01000032.1	50925
28	Adentalis	NZ_AUBL01000033.1	50444
29	Adentalis	NZ_AUBL01000034.1	49868
30	Adentalis	NZ_AUBL01000035.1	48018
31	Adentalis	NZ_AUBL01000036.1	45614
32	Adentalis	NZ_AUBL01000037.1	43684
33	Adentalis	NZ_AUBL01000038.1	41892
34	Adentalis	NZ_AUBL01000039.1	38383
35	Adentalis	NZ_AUBL01000040.1	38237
36	Adentalis	NZ_AUBL01000041.1	37997
37	Adentalis	NZ_AUBL01000042.1	37181
38	Adentalis	NZ_AUBL01000043.1	35880
39	Adentalis	NZ_KE386868.1	34437
40	Adentalis	NZ_AUBL01000046.1	34147
41	Adentalis	NZ_AUBL01000047.1	32355
42	Adentalis	NZ_AUBL01000048.1	32162
43	Adentalis	NZ_AUBL01000049.1	29930
44	Adentalis	NZ_AUBL01000050.1	29242
45	Adentalis	NZ_AUBL01000051.1	28524
46	Adentalis	NZ_AUBL01000052.1	27708
47	Adentalis	NZ_AUBL01000053.1	23947
48	Adentalis	NZ_AUBL01000054.1	23574
49	Adentalis	NZ_AUBL01000055.1	23319
50	Adentalis	NZ_AUBL01000056.1	22561
51	Adentalis	NZ_AUBL01000057.1	22448
52	Adentalis	NZ_AUBL01000058.1	21624
53	Adentalis	NZ_AUBL01000059.1	20984
54	Adentalis	NZ_AUBL01000060.1	20335
55	Adentalis	NZ_AUBL01000061.1	19531
56	Adentalis	NZ_AUBL01000062.1	19074
57	Adentalis	NZ_AUBL01000063.1	18299
58	Adentalis	NZ_AUBL01000064.1	18208
59	Adentalis	NZ_AUBL01000065.1	17047
60	Adentalis	NZ_AUBL01000066.1	16797
61	Adentalis	NZ_KE386869.1	15824
62	Adentalis	NZ_AUBL01000069.1	15592
63	Adentalis	NZ_AUBL01000070.1	14546
64	Adentalis	NZ_AUBL01000071.1	14265
65	Adentalis	NZ_AUBL01000072.1	13959
66	Adentalis	NZ_AUBL01000073.1	13700
67	Adentalis	NZ_AUBL01000074.1	12868
68	Adentalis	NZ_AUBL01000075.1	12776
69	Adentalis	NZ_AUBL01000076.1	9956
70	Adentalis	NZ_AUBL01000077.1	6785
71	Adentalis	NZ_AUBL01000078.1	6779
72	Adentalis	NZ_AUBL01000079.1	6739
73	Adentalis	NZ_AUBL01000080.1	6004
74	Adentalis	NZ_AUBL01000081.1	5801
75	Adentalis	NZ_AUBL01000082.1	5641
76	Adentalis	NZ_AUBL01000083.1	4902
77	Adentalis	NZ_AUBL01000084.1	4719
78	Adentalis	NZ_AUBL01000085.1	3821
79	Adentalis	NZ_AUBL01000086.1	3598
80	Adentalis	NZ_AUBL01000087.1	3540
81	Adentalis	NZ_AUBL01000088.1	3168
82	Adentalis	NZ_AUBL01000089.1	3130
83	Adentalis	NZ_AUBL01000090.1	2510
84	Adentalis	NZ_AUBL01000091.1	2379
85	Adentalis	NZ_AUBL01000092.1	2214
86	Adentalis	NZ_AUBL01000093.1	1656
87	Adentalis	NZ_AUBL01000094.1	1190
88	Adentalis	NZ_AUBL01000095.1	1111
89	Adentalis	NZ_AUBL01000096.1	1028
90	Adentalis	NZ_AUBL01000097.1	1067
