binname	contiglength	mean_read_length	coverage	damage	GC
s02_bin.152	10961	175.8	58.5	0.016	0.481
s02_bin.152	30739	166.5	55.4	0.009	0.473
s02_bin.152	23215	170.8	56.8	0.032	0.477
s02_bin.152	6448	174.5	61.9	0.062	0.477
s02_bin.152	19940	171.6	56.7	0.037	0.493
s02_bin.152	17110	174.7	55.8	0.02	0.450
s02_bin.152	5309	160.2	69.6	0.036	0.494
s02_bin.152	28082	173.9	59.4	0.03	0.483
s02_bin.152	37508	166.6	52.3	0.031	0.458
s02_bin.152	15156	168.8	53.8	0.04	0.489
s02_bin.152	10654	173.5	58.1	0.023	0.473
s02_bin.152	40445	164.1	97	0.026	0.475
s02_bin.152	13255	180.8	58	0.009	0.468
s02_bin.152	26413	174.5	64.6	0.02	0.493
s02_bin.152	22613	169	53.9	0.033	0.508
s02_bin.152	29536	165.2	74.3	0.017	0.466
s02_bin.152	15948	174.9	67.9	0.045	0.472
s02_bin.152	6030	148.5	69.7	0.019	0.486
s02_bin.152	23960	176.5	44.2	0.052	0.499
s02_bin.152	20997	152.2	77.3	0.023	0.462
s02_bin.152	49987	175.8	54.5	0.032	0.486
s02_bin.152	27139	171.3	71.7	0.103	0.477
s02_bin.152	43904	174.4	63.1	0.022	0.484
s02_bin.152	10293	169.3	79.7	0.009	0.465
s02_bin.152	84825	169.4	64.5	0.024	0.485
s02_bin.152	58253	175.3	56.3	0.019	0.494
s02_bin.152	20694	174.2	48.3	0.067	0.497
s02_bin.152	37983	175.9	55.4	0.037	0.480
s02_bin.152	22751	172.4	56	0.047	0.481
s02_bin.152	9811	172.2	62.5	0.043	0.471
s02_bin.152	22907	165	75.9	0.021	0.483
s02_bin.152	26953	172.4	67.1	0.022	0.452
s02_bin.152	22661	177.9	57.8	0.032	0.488
s02_bin.152	46082	178.4	50.7	0.028	0.478
s02_bin.152	10507	162.4	63.5	0.046	0.472
s02_bin.152	6979	149.9	78.3	0.021	0.479
s02_bin.152	30656	164.7	73.3	0.019	0.500
s02_bin.152	16904	170	62.7	0.013	0.457
s02_bin.152	8230	153.6	98	0.009	0.449
s02_bin.152	12322	149.2	194	0.013	0.478
s02_bin.152	6382	170.8	48.1	0	0.490
s02_bin.152	10451	172.8	54.7	0.023	0.477
s02_bin.152	7638	172	61	0.048	0.461
s02_bin.152	34131	167.1	80.2	0.028	0.450
s02_bin.152	6276	163	62.1	0.026	0.468
s02_bin.152	5290	149	63	0.048	0.490
s02_bin.152	30883	170.6	83.9	0.013	0.482
s02_bin.152	124093	175	54.2	0.028	0.494
s02_bin.152	18699	169.4	59.9	0.069	0.467
s02_bin.152	5891	145.5	101.9	0.064	0.479
s02_bin.152	41571	158.8	78	0.02	0.468
s02_bin.152	28357	161.9	130.2	0.01	0.462
s02_bin.152	20067	168.6	55.6	0.048	0.495
s02_bin.152	10011	176.3	51.2	0.028	0.484
s02_bin.152	27034	167.1	63.4	0.013	0.471
s02_bin.152	5956	176.2	51.7	0.005	0.471
s02_bin.152	6521	157	83.4	0.021	0.470
s02_bin.352	6697	167.4	378.6	0.027	0.629
s02_bin.352	13128	162.3	392.5	0.02	0.630
s02_bin.352	5718	163.6	341.1	0.037	0.618
s02_bin.352	16657	167.5	370	0.038	0.628
s02_bin.352	5554	167.8	377.5	0.028	0.595
s02_bin.352	8727	167.6	345.2	0.043	0.613
s02_bin.352	4025	164.2	317.3	0.028	0.654
s02_bin.352	6221	157.5	429.5	0.016	0.644
s02_bin.352	5411	160.9	422.6	0.026	0.623
s02_bin.352	3066	167.5	330.7	0.052	0.650
s02_bin.352	7204	168	345.9	0.037	0.644
s02_bin.352	3842	156	441.7	0.021	0.636
s02_bin.352	14672	166.2	340	0.041	0.640
s02_bin.352	3641	166.2	403.4	0.037	0.584
s02_bin.352	6956	161.2	447	0.018	0.612
s02_bin.352	2984	164.2	352.7	0.027	0.618
s02_bin.352	12868	161.8	473.2	0.025	0.593
s02_bin.352	7261	164.4	330.4	0.031	0.636
s02_bin.352	22891	164.2	347.5	0.025	0.624
s02_bin.352	5342	161.9	356.3	0.042	0.637
s02_bin.352	20572	166.8	403.6	0.035	0.611
s02_bin.352	6019	162.6	359.5	0.028	0.634
s02_bin.352	4212	165.4	337.7	0.03	0.619
s02_bin.352	4491	163	388.3	0.019	0.636
s02_bin.352	9521	165.5	344.5	0.03	0.621
s02_bin.352	6316	164.5	417.1	0.022	0.617
s02_bin.352	5342	167.6	299.6	0.023	0.651
s02_bin.352	8157	163.6	361.5	0.034	0.618
s02_bin.352	26713	165.6	351	0.034	0.642
